postac_a,postac_b,sila_relacji
FEMALE STUDENT #1,MOTHER,4
FEMALE STUDENT #1,NANNY DWARF,4
FEMALE STUDENT #1,OGRE,4
FEMALE STUDENT #1,OGRE BABY,4
FEMALE STUDENT #1,PIG #1,4
FEMALE STUDENT #1,TEENAGER,4
MOTHER,TEENAGER,4
MOTHER,TIFFANY,4
MOTHER,VAN STUDENT,4
GRITTED TEETH,TEENAGER,4
GRITTED TEETH,TIFFANY,4
GRITTED TEETH,VAN STUDENT,4
BLIND MOUSE #1,FAIRYTALE CREATURES,4
BLIND MOUSE #1,FIONA,4
CHEERLEADERS,MABEL,4
CHEERLEADERS,MOTHER,4
CHEERLEADERS,NANNY DWARF,4
CHEERLEADERS,OGRE,4
CHEERLEADERS,OGRE BABY,4
CINDERELLA,COSTUME STUDENT 1,4
CINDERELLA,COSTUME STUDENT 2,4
CINDERELLA,CYCLOPS,4
CHEERLEADERS,GINGERBREAD MAN,4
CHEERLEADERS,GINGERBREAD MAN/PINOCCHIO,4
